Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
81,Airport,73,Trip Completed,11-07-2016 04:47,11-07-2016 06:00
80,City,3,Cancelled,11-07-2016 04:47,
85,City,144,Cancelled,11-07-2016 04:47,
82,Airport,290,Trip Completed,11-07-2016 04:47,11-07-2016 05:23
91,Airport,234,Trip Completed,11-07-2016 04:49,11-07-2016 05:39
84,City,28,Trip Completed,11-07-2016 04:50,11-07-2016 05:26
86,City,174,Cancelled,11-07-2016 04:51,
89,City,280,Trip Completed,11-07-2016 04:52,11-07-2016 05:51
90,Airport,126,Trip Completed,11-07-2016 04:53,11-07-2016 05:34
93,City,69,Trip Completed,11-07-2016 04:53,11-07-2016 05:30
92,City,16,Cancelled,11-07-2016 04:53,
88,Airport,76,Trip Completed,11-07-2016 04:54,11-07-2016 06:07
95,Airport,270,Trip Completed,11-07-2016 04:54,11-07-2016 06:03
96,City,21,Cancelled,11-07-2016 04:58,
105,City,182,Cancelled,11-07-2016 04:58,
98,City,205,Cancelled,11-07-2016 04:58,
94,City,265,Trip Completed,11-07-2016 04:59,11-07-2016 05:58
99,City,70,Cancelled,11-07-2016 05:00,
104,City,,No Cars Available,11-07-2016 05:00,
100,City,256,Trip Completed,11-07-2016 05:00,11-07-2016 05:47
109,City,284,Cancelled,11-07-2016 05:01,
102,Airport,100,Trip Completed,11-07-2016 05:01,11-07-2016 05:38
112,Airport,116,Trip Completed,11-07-2016 05:01,11-07-2016 06:04
97,City,138,Trip Completed,11-07-2016 05:01,11-07-2016 05:39
107,City,215,Cancelled,11-07-2016 05:02,
103,City,,No Cars Available,11-07-2016 05:02,
120,City,268,Cancelled,11-07-2016 05:04,
126,City,40,Cancelled,11-07-2016 05:05,
110,City,22,Trip Completed,11-07-2016 05:05,11-07-2016 06:06
111,City,62,Cancelled,11-07-2016 05:06,
106,City,194,Trip Completed,11-07-2016 05:06,11-07-2016 05:38
116,Airport,286,Trip Completed,11-07-2016 05:07,11-07-2016 05:53
101,Airport,99,Trip Completed,11-07-2016 05:08,11-07-2016 06:09
113,City,185,Cancelled,11-07-2016 05:09,
108,City,248,Cancelled,11-07-2016 05:09,
119,City,204,Cancelled,11-07-2016 05:10,
127,City,173,Cancelled,11-07-2016 05:10,
114,City,217,Trip Completed,11-07-2016 05:10,11-07-2016 05:40
131,City,,No Cars Available,11-07-2016 05:10,
129,City,189,Cancelled,11-07-2016 05:10,
118,Airport,44,Trip Completed,11-07-2016 05:11,11-07-2016 05:52
124,City,,No Cars Available,11-07-2016 05:12,
130,City,206,Cancelled,11-07-2016 05:12,
125,City,38,Trip Completed,11-07-2016 05:12,11-07-2016 06:17
128,City,43,Trip Completed,11-07-2016 05:12,11-07-2016 05:48
123,City,130,Trip Completed,11-07-2016 05:12,11-07-2016 06:14
121,Airport,63,Trip Completed,11-07-2016 05:13,11-07-2016 06:08
134,Airport,121,Trip Completed,11-07-2016 05:13,11-07-2016 06:14
117,City,,No Cars Available,11-07-2016 05:13,
133,City,247,Cancelled,11-07-2016 05:14,
122,City,124,Cancelled,11-07-2016 05:14,
115,City,244,Cancelled,11-07-2016 05:14,
132,City,21,Cancelled,11-07-2016 05:15,
137,City,,No Cars Available,11-07-2016 05:17,
140,City,279,Cancelled,11-07-2016 05:17,
136,City,,No Cars Available,11-07-2016 05:19,
141,City,49,Cancelled,11-07-2016 05:20,
135,City,,No Cars Available,11-07-2016 05:20,
138,City,,No Cars Available,11-07-2016 05:20,
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09
144,City,291,Cancelled,11-07-2016 05:24,
143,Airport,157,Trip Completed,11-07-2016 05:24,11-07-2016 06:01
150,City,9,Cancelled,11-07-2016 05:24,
142,City,134,Trip Completed,11-07-2016 05:25,11-07-2016 06:19
147,City,267,Cancelled,11-07-2016 05:26,
151,City,290,Cancelled,11-07-2016 05:27,
149,City,111,Cancelled,11-07-2016 05:29,
146,Airport,191,Trip Completed,11-07-2016 05:29,11-07-2016 06:08
152,City,294,Trip Completed,11-07-2016 05:29,11-07-2016 06:16
154,City,,No Cars Available,11-07-2016 05:31,
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28
145,City,33,Trip Completed,11-07-2016 05:32,11-07-2016 06:37
153,City,,No Cars Available,11-07-2016 05:33,
162,City,70,Cancelled,11-07-2016 05:34,
163,City,161,Trip Completed,11-07-2016 05:35,11-07-2016 06:49
156,Airport,96,Trip Completed,11-07-2016 05:35,11-07-2016 06:40
158,City,289,Trip Completed,11-07-2016 05:35,11-07-2016 06:41
148,Airport,105,Trip Completed,11-07-2016 05:36,11-07-2016 06:46
161,Airport,107,Trip Completed,11-07-2016 05:36,11-07-2016 06:10
168,City,62,Cancelled,11-07-2016 05:37,
157,City,226,Cancelled,11-07-2016 05:38,
160,Airport,72,Trip Completed,11-07-2016 05:38,11-07-2016 06:34
171,City,,No Cars Available,11-07-2016 05:39,
165,Airport,199,Trip Completed,11-07-2016 05:39,11-07-2016 06:11
164,City,137,Cancelled,11-07-2016 05:40,
167,City,,No Cars Available,11-07-2016 05:40,
166,City,269,Cancelled,11-07-2016 05:41,
172,Airport,59,Trip Completed,11-07-2016 05:41,11-07-2016 06:19
176,City,67,Cancelled,11-07-2016 05:42,
185,City,236,Cancelled,11-07-2016 05:43,
159,City,,No Cars Available,11-07-2016 05:43,
174,Airport,119,Cancelled,11-07-2016 05:44,
169,City,184,Trip Completed,11-07-2016 05:45,11-07-2016 06:48
170,City,113,Trip Completed,11-07-2016 05:45,11-07-2016 06:39
173,City,188,Trip Completed,11-07-2016 05:45,11-07-2016 06:30
175,City,160,Cancelled,11-07-2016 05:45,
181,City,159,Cancelled,11-07-2016 05:46,
182,Airport,225,Trip Completed,11-07-2016 05:46,11-07-2016 06:58
178,City,,No Cars Available,11-07-2016 05:47,
177,City,169,Cancelled,11-07-2016 05:48,
186,City,288,Cancelled,11-07-2016 05:48,
180,Airport,112,Trip Completed,11-07-2016 05:48,11-07-2016 06:28
183,City,252,Trip Completed,11-07-2016 05:49,11-07-2016 06:29
184,City,292,Cancelled,11-07-2016 05:49,
179,City,,No Cars Available,11-07-2016 05:49,
190,City,,No Cars Available,11-07-2016 05:53,
188,City,114,Cancelled,11-07-2016 05:54,
191,Airport,37,Trip Completed,11-07-2016 05:55,11-07-2016 06:45
192,City,202,Cancelled,11-07-2016 05:56,
187,City,62,Cancelled,11-07-2016 05:57,
193,City,213,Cancelled,11-07-2016 05:58,
189,City,,No Cars Available,11-07-2016 05:58,
197,City,202,Trip Completed,11-07-2016 06:00,11-07-2016 06:49
198,Airport,249,Trip Completed,11-07-2016 06:03,11-07-2016 06:44
204,City,27,Trip Completed,11-07-2016 06:04,11-07-2016 06:44
195,City,297,Trip Completed,11-07-2016 06:05,11-07-2016 06:52
208,Airport,,No Cars Available,11-07-2016 06:05,
194,City,,No Cars Available,11-07-2016 06:05,
207,City,,No Cars Available,11-07-2016 06:06,
203,City,,No Cars Available,11-07-2016 06:07,
196,Airport,24,Cancelled,11-07-2016 06:07,
199,City,,No Cars Available,11-07-2016 06:07,
206,City,232,Trip Completed,11-07-2016 06:07,11-07-2016 06:37
211,City,100,Trip Completed,11-07-2016 06:08,11-07-2016 06:47
201,City,76,Trip Completed,11-07-2016 06:09,11-07-2016 07:20
212,City,106,Cancelled,11-07-2016 06:09,
202,City,94,Cancelled,11-07-2016 06:09,
205,Airport,230,Trip Completed,11-07-2016 06:10,11-07-2016 07:10
200,City,36,Cancelled,11-07-2016 06:10,
209,City,50,Cancelled,11-07-2016 06:11,
220,Airport,203,Trip Completed,11-07-2016 06:11,11-07-2016 06:55
217,City,183,Cancelled,11-07-2016 06:12,
210,City,79,Cancelled,11-07-2016 06:12,
214,City,215,Trip Completed,11-07-2016 06:13,11-07-2016 06:53
216,City,54,Cancelled,11-07-2016 06:13,
223,Airport,160,Trip Completed,11-07-2016 06:13,11-07-2016 07:05
218,City,30,Cancelled,11-07-2016 06:14,
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07
213,City,116,Trip Completed,11-07-2016 06:15,11-07-2016 06:57
219,City,283,Cancelled,11-07-2016 06:15,
225,City,245,Trip Completed,11-07-2016 06:16,11-07-2016 07:28
221,City,,No Cars Available,11-07-2016 06:16,
224,City,191,Cancelled,11-07-2016 06:17,
222,Airport,247,Trip Completed,11-07-2016 06:20,11-07-2016 07:10
227,Airport,151,Cancelled,11-07-2016 06:20,
226,City,,No Cars Available,11-07-2016 06:21,
235,City,61,Cancelled,11-07-2016 06:22,
229,City,131,Cancelled,11-07-2016 06:23,
228,City,,No Cars Available,11-07-2016 06:24,
239,City,98,Cancelled,11-07-2016 06:25,
231,City,,No Cars Available,11-07-2016 06:26,
232,City,22,Cancelled,11-07-2016 06:26,
230,City,,No Cars Available,11-07-2016 06:27,
233,City,9,Cancelled,11-07-2016 06:27,
234,City,54,Trip Completed,11-07-2016 06:27,11-07-2016 07:23
238,City,42,Trip Completed,11-07-2016 06:27,11-07-2016 07:15
240,City,168,Cancelled,11-07-2016 06:29,
237,City,56,Cancelled,11-07-2016 06:29,
250,Airport,66,Trip Completed,11-07-2016 06:29,11-07-2016 07:34
241,City,108,Trip Completed,11-07-2016 06:31,11-07-2016 07:17
242,Airport,139,Trip Completed,11-07-2016 06:31,11-07-2016 07:21
249,City,39,Trip Completed,11-07-2016 06:31,11-07-2016 07:14
244,City,211,Cancelled,11-07-2016 06:31,
236,City,24,Cancelled,11-07-2016 06:32,
245,City,69,Cancelled,11-07-2016 06:33,
247,City,7,Cancelled,11-07-2016 06:33,
243,City,144,Trip Completed,11-07-2016 06:34,11-07-2016 07:09
246,Airport,87,Trip Completed,11-07-2016 06:35,11-07-2016 07:10
252,City,107,Cancelled,11-07-2016 06:36,
258,Airport,273,Trip Completed,11-07-2016 06:36,11-07-2016 07:19
251,Airport,268,Trip Completed,11-07-2016 06:36,11-07-2016 07:08
248,City,166,Trip Completed,11-07-2016 06:38,11-07-2016 07:45
257,Airport,89,Trip Completed,11-07-2016 06:38,11-07-2016 07:50
254,City,,No Cars Available,11-07-2016 06:40,
262,City,220,Cancelled,11-07-2016 06:41,
261,City,165,Cancelled,11-07-2016 06:42,
253,City,130,Cancelled,11-07-2016 06:43,
269,City,81,Trip Completed,11-07-2016 06:44,11-07-2016 07:43
263,City,,No Cars Available,11-07-2016 06:44,
255,City,,No Cars Available,11-07-2016 06:44,
256,Airport,80,Trip Completed,11-07-2016 06:44,11-07-2016 07:38
260,City,118,Trip Completed,11-07-2016 06:45,11-07-2016 07:54
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25
259,City,,No Cars Available,11-07-2016 06:46,
266,City,,No Cars Available,11-07-2016 06:47,
265,City,193,Cancelled,11-07-2016 06:47,
272,City,,No Cars Available,11-07-2016 06:50,
274,City,,No Cars Available,11-07-2016 06:50,
273,Airport,261,Trip Completed,11-07-2016 06:51,11-07-2016 07:55
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40
268,City,206,Cancelled,11-07-2016 06:52,
276,City,27,Cancelled,11-07-2016 06:52,
271,Airport,243,Trip Completed,11-07-2016 06:53,11-07-2016 07:31
270,City,124,Trip Completed,11-07-2016 06:54,11-07-2016 07:50
278,City,50,Cancelled,11-07-2016 06:55,
282,City,141,Trip Completed,11-07-2016 06:56,11-07-2016 08:11
286,City,82,Trip Completed,11-07-2016 06:58,11-07-2016 07:54
279,Airport,109,Trip Completed,11-07-2016 06:58,11-07-2016 07:47
277,City,198,Cancelled,11-07-2016 06:59,
275,City,22,Cancelled,11-07-2016 07:00,
281,City,131,Trip Completed,11-07-2016 07:01,11-07-2016 08:10
283,Airport,196,Trip Completed,11-07-2016 07:01,11-07-2016 07:32
285,City,74,Trip Completed,11-07-2016 07:02,11-07-2016 07:40
288,City,,No Cars Available,11-07-2016 07:05,
280,Airport,219,Trip Completed,11-07-2016 07:05,11-07-2016 07:41
287,City,,No Cars Available,11-07-2016 07:05,
284,City,298,Cancelled,11-07-2016 07:05,
291,City,224,Cancelled,11-07-2016 07:06,
293,City,176,Cancelled,11-07-2016 07:07,
289,City,44,Cancelled,11-07-2016 07:09,
295,Airport,297,Cancelled,11-07-2016 07:10,
294,City,278,Cancelled,11-07-2016 07:12,
296,Airport,144,Trip Completed,11-07-2016 07:12,11-07-2016 07:54
300,City,,No Cars Available,11-07-2016 07:13,
297,Airport,206,Trip Completed,11-07-2016 07:13,11-07-2016 07:43
290,City,195,Cancelled,11-07-2016 07:13,
299,City,284,Cancelled,11-07-2016 07:13,
292,City,231,Trip Completed,11-07-2016 07:14,11-07-2016 07:51
298,City,238,Cancelled,11-07-2016 07:15,
305,City,272,Cancelled,11-07-2016 07:17,
301,City,233,Trip Completed,11-07-2016 07:17,11-07-2016 08:18
302,City,209,Cancelled,11-07-2016 07:17,
309,City,240,Cancelled,11-07-2016 07:18,
303,Airport,276,Trip Completed,11-07-2016 07:19,11-07-2016 08:01
307,City,70,Cancelled,11-07-2016 07:20,
306,City,15,Cancelled,11-07-2016 07:20,
304,City,221,Trip Completed,11-07-2016 07:21,11-07-2016 07:50
308,City,105,Cancelled,11-07-2016 07:22,
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28
313,City,53,Trip Completed,11-07-2016 07:26,11-07-2016 08:35
316,City,290,Cancelled,11-07-2016 07:26,
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31
311,Airport,149,Trip Completed,11-07-2016 07:27,11-07-2016 08:08
318,City,146,Trip Completed,11-07-2016 07:28,11-07-2016 08:43
314,Airport,275,Trip Completed,11-07-2016 07:28,11-07-2016 08:15
317,City,145,Cancelled,11-07-2016 07:29,
321,City,119,Cancelled,11-07-2016 07:30,
322,City,26,Trip Completed,11-07-2016 07:31,11-07-2016 08:10
320,City,187,Trip Completed,11-07-2016 07:32,11-07-2016 08:44
326,City,110,Cancelled,11-07-2016 07:33,
319,City,161,Cancelled,11-07-2016 07:33,
327,City,240,Cancelled,11-07-2016 07:33,
328,City,59,Cancelled,11-07-2016 07:33,
315,City,278,Cancelled,11-07-2016 07:34,
325,City,182,Trip Completed,11-07-2016 07:34,11-07-2016 08:44
323,City,57,Cancelled,11-07-2016 07:36,
330,Airport,223,Trip Completed,11-07-2016 07:39,11-07-2016 08:52
335,City,197,Trip Completed,11-07-2016 07:39,11-07-2016 08:23
332,City,259,Cancelled,11-07-2016 07:40,
334,City,103,Cancelled,11-07-2016 07:40,
324,City,85,Cancelled,11-07-2016 07:40,
329,Airport,254,Trip Completed,11-07-2016 07:42,11-07-2016 08:49
333,City,37,Trip Completed,11-07-2016 07:43,11-07-2016 08:53
341,City,94,Cancelled,11-07-2016 07:46,
331,City,,No Cars Available,11-07-2016 07:47,
339,Airport,44,Trip Completed,11-07-2016 07:49,11-07-2016 08:45
338,City,248,Trip Completed,11-07-2016 07:50,11-07-2016 08:55
337,City,,No Cars Available,11-07-2016 07:50,
336,Airport,81,Trip Completed,11-07-2016 07:50,11-07-2016 08:44
349,City,,No Cars Available,11-07-2016 07:51,
342,City,,No Cars Available,11-07-2016 07:51,
340,City,289,Cancelled,11-07-2016 07:51,
347,City,284,Cancelled,11-07-2016 07:51,
344,City,,No Cars Available,11-07-2016 07:52,
345,City,164,Cancelled,11-07-2016 07:52,
350,City,96,Trip Completed,11-07-2016 07:53,11-07-2016 08:40
351,City,99,Trip Completed,11-07-2016 07:53,11-07-2016 08:55
348,City,,No Cars Available,11-07-2016 07:54,
346,City,273,Cancelled,11-07-2016 07:54,
352,City,20,Cancelled,11-07-2016 07:54,
355,City,176,Cancelled,11-07-2016 07:54,
353,City,72,Cancelled,11-07-2016 07:55,
343,City,129,Trip Completed,11-07-2016 07:57,11-07-2016 08:55
359,City,,No Cars Available,11-07-2016 07:58,
354,City,116,Cancelled,11-07-2016 07:59,
357,Airport,24,Trip Completed,11-07-2016 08:00,11-07-2016 09:08
358,City,153,Cancelled,11-07-2016 08:00,
362,City,22,Trip Completed,11-07-2016 08:01,11-07-2016 09:18
360,Airport,35,Trip Completed,11-07-2016 08:02,11-07-2016 09:05
363,City,249,Cancelled,11-07-2016 08:02,
356,City,,No Cars Available,11-07-2016 08:03,
367,City,,No Cars Available,11-07-2016 08:03,
366,City,158,Cancelled,11-07-2016 08:04,
369,City,,No Cars Available,11-07-2016 08:04,
361,City,262,Trip Completed,11-07-2016 08:05,11-07-2016 08:48
364,City,,No Cars Available,11-07-2016 08:05,
368,City,111,Cancelled,11-07-2016 08:06,
370,City,73,Trip Completed,11-07-2016 08:06,11-07-2016 08:32
365,City,,No Cars Available,11-07-2016 08:07,
372,City,,No Cars Available,11-07-2016 08:07,
371,City,158,Cancelled,11-07-2016 08:07,
375,Airport,279,Trip Completed,11-07-2016 08:07,11-07-2016 09:26
378,City,186,Cancelled,11-07-2016 08:08,
373,Airport,102,Trip Completed,11-07-2016 08:09,11-07-2016 09:16
374,Airport,264,Trip Completed,11-07-2016 08:10,11-07-2016 09:03
376,City,77,Trip Completed,11-07-2016 08:11,11-07-2016 08:49
377,City,47,Cancelled,11-07-2016 08:11,
381,City,108,Cancelled,11-07-2016 08:16,
390,City,,No Cars Available,11-07-2016 08:17,
382,City,253,Trip Completed,11-07-2016 08:17,11-07-2016 09:11
384,Airport,231,Trip Completed,11-07-2016 08:18,11-07-2016 08:54
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18
379,City,130,Cancelled,11-07-2016 08:18,
387,Airport,228,Trip Completed,11-07-2016 08:19,11-07-2016 09:07
389,City,266,Trip Completed,11-07-2016 08:20,11-07-2016 09:17
383,City,200,Cancelled,11-07-2016 08:21,
385,City,,No Cars Available,11-07-2016 08:21,
388,City,,No Cars Available,11-07-2016 08:21,
394,Airport,260,Trip Completed,11-07-2016 08:22,11-07-2016 08:59
397,City,72,Cancelled,11-07-2016 08:23,
392,Airport,193,Trip Completed,11-07-2016 08:23,11-07-2016 09:10
391,City,107,Cancelled,11-07-2016 08:24,
399,City,232,Cancelled,11-07-2016 08:25,
398,City,159,Trip Completed,11-07-2016 08:26,11-07-2016 09:32
401,City,43,Cancelled,11-07-2016 08:27,
393,City,212,Cancelled,11-07-2016 08:27,
396,City,,No Cars Available,11-07-2016 08:29,
405,City,132,Trip Completed,11-07-2016 08:29,11-07-2016 09:35
400,City,32,Cancelled,11-07-2016 08:29,
386,City,68,Cancelled,11-07-2016 08:29,
402,Airport,69,Trip Completed,11-07-2016 08:31,11-07-2016 09:02
395,City,276,Cancelled,11-07-2016 08:32,
407,City,294,Cancelled,11-07-2016 08:33,
410,City,274,Trip Completed,11-07-2016 08:34,11-07-2016 09:25
409,City,216,Cancelled,11-07-2016 08:34,
403,City,79,Cancelled,11-07-2016 08:35,
423,City,215,Trip Completed,11-07-2016 08:36,11-07-2016 09:21
406,Airport,201,Trip Completed,11-07-2016 08:36,11-07-2016 09:34
411,City,53,Cancelled,11-07-2016 08:37,
420,City,284,Trip Completed,11-07-2016 08:37,11-07-2016 09:27
412,City,107,Cancelled,11-07-2016 08:37,
408,City,,No Cars Available,11-07-2016 08:37,
415,Airport,251,Cancelled,11-07-2016 08:37,
413,City,,No Cars Available,11-07-2016 08:37,
404,City,120,Cancelled,11-07-2016 08:39,
416,City,,No Cars Available,11-07-2016 08:39,
414,City,242,Cancelled,11-07-2016 08:41,
417,City,271,Cancelled,11-07-2016 08:42,
422,City,84,Trip Completed,11-07-2016 08:42,11-07-2016 09:56
419,City,212,Cancelled,11-07-2016 08:42,
418,City,62,Trip Completed,11-07-2016 08:42,11-07-2016 09:24
421,City,57,Cancelled,11-07-2016 08:43,
424,City,46,Cancelled,11-07-2016 08:47,
425,Airport,54,Trip Completed,11-07-2016 08:48,11-07-2016 09:34
428,City,88,Cancelled,11-07-2016 08:48,
427,City,104,Cancelled,11-07-2016 08:48,
426,City,174,Trip Completed,11-07-2016 08:48,11-07-2016 09:53
430,City,134,Trip Completed,11-07-2016 08:49,11-07-2016 09:47
432,City,89,Cancelled,11-07-2016 08:52,
429,City,148,Trip Completed,11-07-2016 08:54,11-07-2016 09:47
436,City,40,Cancelled,11-07-2016 08:55,
439,City,161,Cancelled,11-07-2016 08:55,
435,City,,No Cars Available,11-07-2016 08:55,
431,City,246,Cancelled,11-07-2016 08:56,
433,City,177,Cancelled,11-07-2016 08:57,
437,City,123,Cancelled,11-07-2016 08:59,
441,City,286,Cancelled,11-07-2016 09:05,
438,City,156,Trip Completed,11-07-2016 09:05,11-07-2016 10:14
443,City,48,Trip Completed,11-07-2016 09:05,11-07-2016 09:45
445,City,162,Trip Completed,11-07-2016 09:06,11-07-2016 10:05
447,City,155,Trip Completed,11-07-2016 09:07,11-07-2016 09:57
446,City,86,Trip Completed,11-07-2016 09:07,11-07-2016 10:08
440,City,,No Cars Available,11-07-2016 09:08,
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52
434,City,,No Cars Available,11-07-2016 09:09,
444,Airport,142,Trip Completed,11-07-2016 09:09,11-07-2016 09:52
454,City,47,Cancelled,11-07-2016 09:10,
451,City,152,Trip Completed,11-07-2016 09:10,11-07-2016 10:10
450,City,88,Cancelled,11-07-2016 09:11,
463,City,130,Cancelled,11-07-2016 09:12,
458,Airport,137,Trip Completed,11-07-2016 09:12,11-07-2016 10:24
448,City,235,Trip Completed,11-07-2016 09:13,11-07-2016 10:08
453,City,,No Cars Available,11-07-2016 09:13,
456,City,,No Cars Available,11-07-2016 09:13,
466,City,138,Cancelled,11-07-2016 09:14,
462,City,75,Trip Completed,11-07-2016 09:14,11-07-2016 10:30
464,City,253,Cancelled,11-07-2016 09:14,
461,City,43,Cancelled,11-07-2016 09:15,
442,City,,No Cars Available,11-07-2016 09:15,
465,City,254,Trip Completed,11-07-2016 09:15,11-07-2016 09:55
478,City,,No Cars Available,11-07-2016 09:16,
452,City,,No Cars Available,11-07-2016 09:16,
455,City,178,Trip Completed,11-07-2016 09:17,11-07-2016 10:12
457,City,34,Cancelled,11-07-2016 09:17,
459,City,144,Cancelled,11-07-2016 09:17,
468,City,20,Trip Completed,11-07-2016 09:20,11-07-2016 10:05
467,City,71,Trip Completed,11-07-2016 09:20,11-07-2016 10:17
460,City,,No Cars Available,11-07-2016 09:21,
473,Airport,,No Cars Available,11-07-2016 09:22,
471,City,258,Cancelled,11-07-2016 09:22,
470,City,217,Trip Completed,11-07-2016 09:22,11-07-2016 10:00
475,Airport,219,Trip Completed,11-07-2016 09:24,11-07-2016 10:21
484,City,216,Trip Completed,11-07-2016 09:24,11-07-2016 10:10
476,City,295,Trip Completed,11-07-2016 09:24,11-07-2016 10:02
474,City,63,Cancelled,11-07-2016 09:24,
469,Airport,110,Trip Completed,11-07-2016 09:24,11-07-2016 10:04
